,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1790,"Solo Talent Taschentücher 4-lagig, 30 x 10 Tücher",1.19,100 Gramm,Packung 600 Gramm,aldi-nord,0.198
1791,D Antelli frische Gnocchi fein gewürzt,1.49,100 Gramm,Packung 200 Gramm,aldi-nord,0.75
1792,Gut Bio  / Aldi Nord Hafercookies Mit Zartbitterschokolade,0.29,100 ml,Dose 0.5 L,aldi-nord,0.057999999999999996
1793,Schultenbräu Pilsner,0.99,100 Gramm,Becher 200 Gramm,aldi-nord,0.5
1794,Ofterdinger Thunfisch Salat,2.79,100 Gramm,Kunststoffschale 1100 Gramm,aldi-nord,0.254
1795,Bauernglück Frische Hähnchenschenkel,1.49,100 Gramm,Folie 200 Gramm,aldi-nord,0.75
1796,"Hofburger Allgäuer Limburger leicht & würzig, 20% Fett absolut",1.49,100 Gramm,Folie 200 Gramm,aldi-nord,0.75
1797,"Hofburger Allgäuer Limburger klassisch würzig, 40% Fett i. Tr.",0.99,100 Gramm,Folie 150 Gramm,aldi-nord,0.66
1798,Hofburger Cremiger Weichkäse Classic,0.99,100 Gramm,Folie 150 Gramm,aldi-nord,0.66
1799,Hofburger Cremiger Weichkäse Würzig,0.99,100 Gramm,Folie 150 Gramm,aldi-nord,0.66
1800,Hofburger Cremiger Weichkäse Blauschimmel,0.99,100 Gramm,Folie 150 Gramm,aldi-nord,0.66
1801,Hofburger Cremiger Weichkäse Pfeffer,0.99,100 Gramm,Folie 150 Gramm,aldi-nord,0.66
1802,Hofburger Cremiger Weichkäse Peperoni,0.99,100 Gramm,Folie 150 Gramm,aldi-nord,0.66
1803,Casa Morando Pesto Rosso,1.19,100 Gramm,Glas 190 Gramm,aldi-nord,0.63
1804,Houdek Original bayer. Leberkäse,2.39,100 Gramm,Packung 400 Gramm,aldi-nord,0.5980000000000001
1805,Hofburger Käseaufschnitt,1.39,100 Gramm,Packung 250 Gramm,aldi-nord,0.56
1806,Biscotto Hafertaler Schwedengebäck,2.49,100 Gramm,Packung 600 Gramm,aldi-nord,0.42
1807,Landbeck / Aldi Nord Mini Kabanossi mild,1.99,100 Gramm,Packung 250 Gramm,aldi-nord,0.8
1808,Fjördens Heringsfilet in Pfeffer Creme,0.89,100 Gramm,Dose 200 Gramm,aldi-nord,0.45
